Date,Open,High,Low,Close,Adj Close,Volume
2013-02-01,44.5,50.5,42.0,46.0,46.0,4978
2013-03-01,45.5,45.5,36.0,41.5,41.5,2220
2013-04-01,40.0,41.0,23.5,35.5,35.5,3090
2013-05-01,35.5,42.5,31.0,37.0,37.0,4772
2013-06-01,36.5,41.5,28.0,32.0,32.0,3658
2013-07-01,32.0,39.0,27.5,32.5,32.5,2878
2013-08-01,32.0,144.0,30.0,96.5,96.5,228014
2013-09-01,95.5,117.5,86.5,94.0,94.0,27340
2013-10-01,94.0,105.0,75.0,80.0,80.0,28200
2013-11-01,81.0,100.0,68.5,81.0,81.0,17782
2013-12-01,80.0,101.5,74.5,79.5,79.5,20462
2014-01-01,82.0,107.5,76.0,80.0,80.0,39986
2014-02-01,78.0,94.0,75.0,84.5,84.5,26140
2014-03-01,87.0,126.0,78.0,80.0,80.0,72394
2014-04-01,80.0,83.0,56.0,56.0,56.0,7960
2014-05-01,55.0,74.0,41.0,55.5,55.5,19440
2014-06-01,55.0,147.5,55.0,132.5,132.5,201928
2014-07-01,135.0,155.0,111.5,122.0,122.0,48120
2014-08-01,122.5,215.0,107.5,159.0,159.0,61624
2014-09-01,159.5,174.0,133.5,140.0,140.0,16946
2014-10-01,145.5,145.5,101.5,120.0,120.0,7992
2014-11-01,110.0,122.0,88.0,99.0,99.0,5742
2014-12-01,98.5,98.5,75.0,79.5,79.5,3268
2015-01-01,77.0,136.5,70.5,98.5,98.5,36222
2015-02-01,101.5,117.0,92.0,99.0,99.0,5292
2015-03-01,100.0,112.5,80.0,87.5,87.5,5140
2015-04-01,87.5,122.5,78.5,103.0,103.0,10062
2015-05-01,103.0,111.0,75.0,81.0,81.0,3602
2015-06-01,81.0,89.5,73.0,77.5,77.5,1586
2015-07-01,75.0,89.5,53.0,70.5,70.5,5350
2015-08-01,69.0,71.5,51.0,54.0,54.0,1456
2015-09-01,55.5,68.5,52.5,61.5,61.5,1230
2015-10-01,59.0,62.5,50.0,53.0,53.0,798
2015-11-01,50.0,58.0,38.0,43.5,43.5,1566
2015-12-01,43.5,48.5,36.0,36.5,36.5,1568
2016-01-01,43.0,45.0,26.0,35.0,35.0,1286
2016-02-01,34.5,39.5,28.0,37.0,37.0,1764
2016-03-01,34.5,53.0,30.5,37.0,37.0,6126
2016-04-01,36.5,42.0,33.0,35.0,35.0,3116
2016-05-01,36.0,38.5,33.0,35.5,35.5,626
2016-06-01,33.5,48.5,33.0,37.5,37.5,2328
2016-07-01,37.5,109.5,34.0,65.5,65.5,240180
2016-08-01,61.0,87.5,50.5,53.0,53.0,114050
2016-09-01,52.5,67.0,52.5,57.5,57.5,31566
2016-10-01,57.5,63.0,50.0,50.5,50.5,27420
2016-11-01,53.0,68.0,37.5,45.5,45.5,31560
2016-12-01,48.0,50.0,40.0,43.5,43.5,6852
2017-01-01,44.0,79.0,43.0,57.5,57.5,116408
2017-02-01,56.0,65.0,47.5,52.0,52.0,35552
2017-03-01,49.5,59.0,49.0,55.0,55.0,14860
2017-04-01,54.5,67.5,53.0,55.5,55.5,27676
2017-05-01,54.5,58.5,43.0,43.0,43.0,10040
2017-06-01,44.5,52.5,41.5,45.5,45.5,5040
2017-07-01,45.5,57.5,42.5,44.5,44.5,6114
2017-08-01,44.5,50.5,38.0,40.0,40.0,6114
2017-09-01,40.0,54.5,38.0,46.5,46.5,12130
2017-10-01,46.0,55.0,41.5,45.0,45.0,30224
2017-11-01,47.5,71.0,45.0,52.0,52.0,35372
2017-12-01,51.5,66.5,46.0,48.5,48.5,36368
2018-01-01,50.5,74.5,48.5,51.5,51.5,62522
2018-02-01,52.0,53.0,44.0,44.5,44.5,16444
2018-03-01,44.0,182.5,43.0,71.0,71.0,643828
2018-04-01,75.5,79.0,55.5,60.5,60.5,63098
2018-05-01,60.5,157.5,58.0,124.0,124.0,419950
2018-06-01,123.0,264.5,120.0,134.0,134.0,162426
2018-07-01,133.5,286.0,130.0,215.5,215.5,102226
2018-08-01,217.0,359.5,182.5,213.5,213.5,89950
2018-09-01,211.0,245.0,186.0,235.0,235.0,24558
2018-10-01,235.5,348.0,167.0,332.0,332.0,30340
2018-11-01,348.0,594.0,225.0,519.0,519.0,56870
2018-12-01,572.5,1250.0,400.0,786.5,786.5,79788
2019-01-01,806.5,1035.0,316.5,346.5,346.5,44214
2019-02-01,351.0,430.0,255.0,311.0,311.0,25862
2019-03-01,315.5,394.0,263.0,310.0,310.0,28598
2019-04-01,310.0,335.0,177.5,196.5,196.5,21688
2019-05-01,202.5,235.0,130.5,151.5,151.5,11442
2019-06-01,157.5,157.5,110.0,118.5,118.5,11026
2019-07-01,115.5,200.0,107.0,115.5,115.5,16416
2019-08-01,112.5,128.5,102.5,107.5,107.5,11884
2019-09-01,107.0,110.0,51.5,54.5,54.5,13292
2019-10-01,54.5,600.0,52.5,230.5,230.5,1181754
2019-11-01,276.5,285.0,121.0,131.5,131.5,99538
2019-12-01,161.5,227.5,141.0,159.5,159.5,130644
2020-01-01,175.5,279.0,117.0,249.0,249.0,224976
2020-02-01,280.0,370.0,157.5,203.5,203.5,598750
2020-03-01,250.0,269.0,92.5,124.0,124.0,304942
2020-04-01,130.5,170.0,117.5,131.5,131.5,254346
2020-05-01,135.5,162.0,115.5,123.0,123.0,295572
2020-06-01,123.0,172.5,102.5,113.5,113.5,478908
2020-07-01,111.0,112.5,93.5,94.5,94.5,183646
2020-08-01,97.5,125.0,77.5,89.5,89.5,211442
2020-09-01,87.5,91.0,75.0,84.0,84.0,57538
2020-10-01,84.5,204.5,82.5,90.0,90.0,2382640
2020-11-01,93.5,109.0,83.0,95.0,95.0,200948
2020-12-01,95.0,98.0,81.5,83.5,83.5,276630
2021-01-01,86.0,122.0,84.0,94.5,94.5,568310
2021-02-01,95.0,140.5,86.0,88.0,88.0,931330
2021-03-01,92.5,96.5,66.0,87.5,87.5,282058
2021-04-01,90.0,92.0,67.5,74.5,74.5,116046
2021-05-01,75.0,79.0,57.0,62.5,62.5,235942
2021-06-01,64.0,78.0,57.5,67.0,67.0,191580
2021-07-01,68.0,70.0,50.0,60.0,60.0,73658
2021-08-01,61.0,63.0,37.5,41.5,41.5,96482
2021-09-01,41.5,44.5,32.0,36.0,36.0,172326
2021-10-01,34.5,133.5,26.5,41.5,41.5,6031824
2021-11-01,41.5,59.0,30.5,42.0,42.0,5401162
2021-12-01,40.0,46.0,23.5,25.5,25.5,662410
2022-01-01,27.0,27.0,18.0,20.0,20.0,251914
2022-02-01,20.0,21.5,10.199999809265137,12.399999618530273,12.399999618530273,1267430
2022-03-01,11.699999809265137,16.700000762939453,9.699999809265137,13.800000190734863,13.800000190734863,719310
2022-04-01,14.5,15.800000190734863,9.399999618530273,9.699999809265137,9.699999809265137,206920
2022-05-01,9.5,10.300000190734863,4.0,4.199999809265137,4.199999809265137,5255740
2022-06-01,4.300000190734863,7.5,4.099999904632568,6.400000095367432,6.400000095367432,4970050
2022-07-01,6.300000190734863,7.400000095367432,4.199999809265137,5.300000190734863,5.300000190734863,868760
2022-08-01,5.199999809265137,7.900000095367432,4.5,4.900000095367432,4.900000095367432,9481440
2022-09-01,4.699999809265137,4.800000190734863,2.700000047683716,2.799999952316284,2.799999952316284,1637130
