Date,Open,High,Low,Close,Adj Close,Volume
2013-02-01,665625.0,665625.0,468750.0,506250.0,506250.0,0
2013-03-01,487500.0,562500.0,365625.0,472500.0,472500.0,0
2013-04-01,459375.0,534375.0,352500.0,491250.0,491250.0,34
2013-05-01,496875.0,590625.0,376875.0,431250.0,431250.0,35
2013-06-01,410625.0,489375.0,406875.0,414375.0,414375.0,12
2013-07-01,436875.0,502500.0,382500.0,453750.0,453750.0,14
2013-08-01,431250.0,478125.0,337500.0,403125.0,403125.0,11
2013-09-01,390000.0,496875.0,376875.0,436875.0,436875.0,11
2013-10-01,453750.0,688125.0,433125.0,528750.0,528750.0,58
2013-11-01,521250.0,592500.0,461250.0,532500.0,532500.0,28
2013-12-01,526875.0,530625.0,425625.0,461250.0,461250.0,24
2014-01-01,480000.0,601875.0,465000.0,556875.0,556875.0,28
2014-02-01,562500.0,712500.0,530625.0,586875.0,586875.0,18
2014-03-01,583125.0,691875.0,571875.0,571875.0,571875.0,10
2014-04-01,571875.0,607500.0,335625.0,393750.0,393750.0,17
2014-05-01,395625.0,500625.0,376875.0,468750.0,468750.0,14
2014-06-01,457500.0,609375.0,451875.0,553125.0,553125.0,9
2014-07-01,562500.0,566250.0,397500.0,429375.0,429375.0,3
2014-08-01,433125.0,481875.0,423750.0,444375.0,444375.0,7
2014-09-01,446250.0,465000.0,339375.0,412500.0,412500.0,10
2014-10-01,408750.0,418125.0,300000.0,318750.0,318750.0,5
2014-11-01,320625.0,326250.0,178125.0,181875.0,181875.0,24
2014-12-01,187500.0,196875.0,131250.0,146250.0,146250.0,25
2015-01-01,150000.0,189375.0,131250.0,150000.0,150000.0,10
2015-02-01,150000.0,157500.0,101250.0,112500.0,112500.0,8
2015-03-01,118125.0,121875.0,43125.0,60000.0,60000.0,267
2015-04-01,58125.0,65625.0,43125.0,48750.0,48750.0,78
2015-05-01,52500.0,52500.0,35625.0,43125.0,43125.0,102
2015-06-01,43125.0,78750.0,43125.0,52500.0,52500.0,245
2015-07-01,52500.0,60000.0,33750.0,39375.0,39375.0,79
2015-08-01,37500.0,58125.0,33750.0,35625.0,35625.0,77
2015-09-01,35625.0,46875.0,28125.0,31875.0,31875.0,46
2015-10-01,27000.0,39750.0,16687.5,18937.5,18937.5,162
2015-11-01,19312.5,22125.0,11812.5,16875.0,16875.0,183
2015-12-01,17250.0,18000.0,13125.0,16500.0,16500.0,66
2016-01-01,17250.0,17625.0,9375.0,10500.0,10500.0,40
2016-02-01,10312.5,11250.0,7312.5,7875.0,7875.0,27
2016-03-01,8062.5,17812.5,7875.0,9562.5,9562.5,70
2016-04-01,9375.0,11625.0,8625.0,9187.5,9187.5,119
2016-05-01,9187.5,10312.5,6000.0,8625.0,8625.0,108
2016-06-01,8625.0,9000.0,5812.5,6000.0,6000.0,177
2016-07-01,5062.5,5625.0,3187.5,3375.0,3375.0,2745
2016-08-01,3937.5,4312.5,2250.0,2812.5,2812.5,2226
